"region","date","N","Mean","SD","Min","Max"
"East Asia & Pacific",1990,22,4913.10338241161,8676.86249610631,581.613311207808,32846.3896070232
"East Asia & Pacific",1991,22,5105.01041714934,8806.99401012351,579.378753342704,33870.3740402071
"East Asia & Pacific",1992,22,5290.8095613208,8835.15322461758,597.202183388265,34048.7845542093
"East Asia & Pacific",1993,22,5482.7896793387,8948.19611763229,635.107184332737,33782.7354457333
"East Asia & Pacific",1994,22,5740.08787960924,9158.13719578287,669.375053140006,34053.5242335989
"East Asia & Pacific",1995,22,6037.21944632957,9456.04085841277,708.504878120141,34867.5803906089
"East Asia & Pacific",1996,22,6339.777298743,9798.83588527534,746.426565295562,35878.7894669399
"East Asia & Pacific",1997,22,6537.70124962673,10021.6683559724,781.596071673782,36144.6175538208
"East Asia & Pacific",1998,22,6449.27147449242,9974.54163112803,816.526211171425,36099.0229106261
"East Asia & Pacific",1999,22,6634.84283457028,10264.8424988933,875.418496916139,37475.9787592588
"East Asia & Pacific",2000,23,6942.46963717102,10475.9860152978,973.395538105398,38494.8866763373
"East Asia & Pacific",2001,23,7157.71984278828,10545.9591579407,1083.41941973722,38779.6000002663
"East Asia & Pacific",2002,23,7449.34999763787,10793.4435776089,1198.09469726169,39872.1475260579
"East Asia & Pacific",2003,23,7802.67223897889,10992.2627554864,1340.87273211032,40642.5622844033
"East Asia & Pacific",2004,24,8225.19173489717,11118.8191855541,1511.17153181783,41905.8496649704
"East Asia & Pacific",2005,24,8690.50724999998,11363.5105724783,1702.30968192177,42704.4424723347
"East Asia & Pacific",2006,24,9237.26167770398,11589.4218300525,1914.24156880612,43286.7235365751
"East Asia & Pacific",2007,24,9920.13514906125,11860.6287989419,1973.78396773478,44109.6693742979
"East Asia & Pacific",2008,24,10367.2172027448,11884.9402225653,1895.92265233151,44777.2737194117
"East Asia & Pacific",2009,24,10668.3708441285,11612.0665314661,1874.54191431086,44684.4014940539
"East Asia & Pacific",2010,24,11431.9446072156,11966.8451226277,1819.2328852702,44965.3933643214
"East Asia & Pacific",2011,24,12031.2187256071,12079.9179769915,1819.68812751361,45405.3653652747
"East Asia & Pacific",2012,24,12627.0123734507,12311.7886326174,1883.20608349029,46360.6071243229
"East Asia & Pacific",2013,24,13242.2880170915,12516.9924902903,1932.2688313844,46744.6238819012
"East Asia & Pacific",2014,24,13828.9375521162,12673.5394446893,1883.2632005579,47240.2744640204
"East Asia & Pacific",2015,24,14454.7713156458,12846.4227939641,2038.52177595146,47567.6806608932
"East Asia & Pacific",2016,24,15096.085226871,13002.5397218641,1997.85748525742,48109.2027153453
"East Asia & Pacific",2017,24,15806.7151770027,13234.2249988513,1970.82588122744,48400.2457875228
"East Asia & Pacific",2018,24,16530.9458037105,13452.3521807114,2039.4298399491,49052.8179535889
"East Asia & Pacific",2019,24,17185.3015980608,13512.9485326027,1963.53488352412,49379.093333787
"East Asia & Pacific",2020,24,17115.8301088638,13180.9056572094,1897.06192179014,48747.8517145133
"Europe & Central Asia",1990,36,24285.5544128784,15719.0871357595,3638.87684030839,70860.8191239509
"Europe & Central Asia",1991,37,23886.6869925535,16344.6667554108,3496.36962587578,75961.6687167113
"Europe & Central Asia",1992,38,23171.5912828431,16754.7461383755,2521.41274291265,76323.3047532824
"Europe & Central Asia",1993,38,22680.4862861224,17074.0664910791,2085.19261089541,78468.9217598348
"Europe & Central Asia",1994,39,22383.9851493108,17833.4371068073,1616.67773300166,80365.2245079687
"Europe & Central Asia",1995,47,22355.4889369407,17140.3470258013,1389.0972433911,80379.1276289992
"Europe & Central Asia",1996,47,22630.424563623,17313.690687884,1134.2220193775,80401.0320167454
"Europe & Central Asia",1997,48,23228.8716866185,17797.1900030742,1137.92479774279,83702.8135298171
"Europe & Central Asia",1998,48,23679.5434908141,18491.1950604318,1190.64688760092,88185.8001102476
"Europe & Central Asia",1999,48,24311.9964894992,19347.29277379,1228.16050272322,94115.3840349976
"Europe & Central Asia",2000,48,25431.0491963476,20144.5825345543,1312.70184291208,99301.5269991515
"Europe & Central Asia",2001,48,26009.2193157789,20375.9976044953,1407.98639296577,101143.147977096
"Europe & Central Asia",2002,48,26498.8880443482,20473.6997357233,1528.34483713058,103317.331098088
